date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:51	50/50	---MCZ	200	added ('OK')	text/plain	etag:W/%226400700a-18%22	https://247artists.com/robots.txt		(from )
10:06:52	93136/93136	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Oct%202025%2008:54:00%20GMT	https://247artists.com/	./247artists-clone/247artists.com/index.html	(from )
10:06:52	267/267	---M--	200	added ('OK')	image/png	etag:%2268276da8-34e%22	https://247artists.com/wp-content/themes/creatorspc/static/favicon/favicon-96x96.png	./247artists-clone/247artists.com/wp-content/themes/creatorspc/static/favicon/favicon-96x96.png	(from https://247artists.com/)
10:06:54	4195/4195	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268276da9-1063%22	https://247artists.com/wp-content/themes/creatorspc/static/favicon/favicon.svg	./247artists-clone/247artists.com/wp-content/themes/creatorspc/static/favicon/favicon.svg	(from https://247artists.com/)
10:06:54	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2268276da9-3aee%22	https://247artists.com/wp-content/themes/creatorspc/static/favicon/favicon.ico	./247artists-clone/247artists.com/wp-content/themes/creatorspc/static/favicon/favicon.ico	(from https://247artists.com/)
10:06:55	535/535	---M--	200	added ('OK')	image/png	etag:%2268276da8-998%22	https://247artists.com/wp-content/themes/creatorspc/static/favicon/apple-touch-icon.png	./247artists-clone/247artists.com/wp-content/themes/creatorspc/static/favicon/apple-touch-icon.png	(from https://247artists.com/)
10:06:57	73871/73871	---M--	200	added ('OK')	image/jpeg	etag:%2267bf697e-16d32%22	https://247artists.com/wp-content/uploads/2025/02/dsc01130_53897734379_o-720x480.jpg	./247artists-clone/247artists.com/wp-content/uploads/2025/02/dsc01130_53897734379_o-720x480.jpg	(from https://247artists.com/)
10:06:58	122208/122208	---M--	200	added ('OK')	image/jpeg	etag:%2267c5c9a6-1de32%22	https://247artists.com/wp-content/uploads/2025/03/247-artists.jpg	./247artists-clone/247artists.com/wp-content/uploads/2025/03/247-artists.jpg	(from https://247artists.com/)
10:06:58	671/671	---MCZ	200	added ('OK')	text/css	etag:W/%2268276dad-29f%22	https://247artists.com/wp-content/themes/creatorspc/static/fonts/gellix.css?ver=1.0.0	./247artists-clone/247artists.com/wp-content/themes/creatorspc/static/fonts/gellix8a54.css	(from https://247artists.com/)
10:06:59	25340/25340	---MCZ	200	added ('OK')	text/css	etag:W/%2268b6a07e-62fc%22	https://247artists.com/wp-content/themes/creatorspc/build/css/main.css?ver=179924284	./247artists-clone/247artists.com/wp-content/themes/creatorspc/build/css/main1759.css	(from https://247artists.com/)
10:07:01	5475/5475	---MCZ	200	added ('OK')	text/css	etag:W/%2268b6a0a0-1563%22	https://247artists.com/wp-content/themes/creatorspc/build/css/components/site-head-home.css?ver=179924284	./247artists-clone/247artists.com/wp-content/themes/creatorspc/build/css/components/site-head-home1759.css	(from https://247artists.com/)
10:07:02	14387/14387	---MCZ	200	added ('OK')	text/css	etag:W/%2268b6a092-3833%22	https://247artists.com/wp-content/themes/creatorspc/build/css/components/b-nav-wrapper.css?ver=179924284	./247artists-clone/247artists.com/wp-content/themes/creatorspc/build/css/components/b-nav-wrapper1759.css	(from https://247artists.com/)
10:07:03	2271/2271	---MCZ	200	added ('OK')	text/css	etag:W/%2268b6a093-8df%22	https://247artists.com/wp-content/themes/creatorspc/build/css/components/btn-cta.css?ver=179924284	./247artists-clone/247artists.com/wp-content/themes/creatorspc/build/css/components/btn-cta1759.css	(from https://247artists.com/)
10:07:04	874/874	---MCZ	200	added ('OK')	text/css	etag:W/%2268b6a09f-36a%22	https://247artists.com/wp-content/themes/creatorspc/build/css/components/site-foot-alt.css?ver=179924284	./247artists-clone/247artists.com/wp-content/themes/creatorspc/build/css/components/site-foot-alt1759.css	(from https://247artists.com/)
10:07:05	2040/2040	---MCZ	200	added ('OK')	text/css	etag:W/%2268b6a09a-7f8%22	https://247artists.com/wp-content/themes/creatorspc/build/css/components/s-hero-events.css?ver=179924284	./247artists-clone/247artists.com/wp-content/themes/creatorspc/build/css/components/s-hero-events1759.css	(from https://247artists.com/)
10:07:06	3177/3177	---MCZ	200	added ('OK')	text/css	etag:W/%2268b6a099-c69%22	https://247artists.com/wp-content/themes/creatorspc/build/css/components/s-hero-article.css?ver=179924284	./247artists-clone/247artists.com/wp-content/themes/creatorspc/build/css/components/s-hero-article1759.css	(from https://247artists.com/)
